,SAR,Infections,Reff_1,Reff_2,Excess,n
410,1.326884127,0.030576681,0.075364531,0.150729062,1.176557206,40900
411,1.330524026,0.03064072,0.075158357,0.150316714,1.173924997,41000
412,1.334167348,0.030704727,0.074953116,0.149906232,1.171303504,41100
413,1.337814095,0.030768702,0.074748801,0.149497603,1.16869266,41200
414,1.341464268,0.030832646,0.074545407,0.149090814,1.166092398,41300
415,1.345117871,0.030896557,0.074342927,0.148685854,1.163502653,41400
416,1.348774906,0.030960437,0.074141356,0.148282711,1.160923358,41500
417,1.352435376,0.031024286,0.073940686,0.147881373,1.158354449,41600
418,1.356099283,0.031088102,0.073740914,0.147481827,1.155795862,41700
419,1.359766629,0.031151888,0.073542031,0.147084063,1.153247532,41800
420,1.363437418,0.031215641,0.073344034,0.146688068,1.150709396,41900
421,1.367111651,0.031279364,0.073146915,0.14629383,1.148181391,42000
422,1.370789331,0.031343055,0.07295067,0.14590134,1.145663455,42100
423,1.37447046,0.031406715,0.072755292,0.145510584,1.143155527,42200
424,1.378155042,0.031470343,0.072560777,0.145121553,1.140657545,42300
425,1.381843078,0.031533941,0.072367117,0.144734234,1.138169447,42400
426,1.38553457,0.031597508,0.072174309,0.144348618,1.135691176,42500
427,1.389229522,0.031661043,0.071982346,0.143964692,1.133222669,42600
428,1.392927936,0.031724548,0.071791223,0.143582446,1.130763869,42700
429,1.396629814,0.031788021,0.071600935,0.143201869,1.128314716,42800
430,1.400335158,0.031851464,0.071411476,0.142822951,1.125875152,42900
431,1.404043972,0.031914876,0.071222841,0.142445681,1.12344512,43000
432,1.407756257,0.031978258,0.071035024,0.142070049,1.121024561,43100
433,1.411472016,0.032041609,0.070848022,0.141696043,1.118613421,43200
434,1.415191251,0.032104929,0.070661827,0.141323655,1.116211641,43300
435,1.418913966,0.032168219,0.070476436,0.140952873,1.113819166,43400
436,1.422640161,0.032231478,0.070291844,0.140583688,1.111435941,43500
437,1.42636984,0.032294707,0.070108044,0.140216089,1.10906191,43600
438,1.430103006,0.032357906,0.069925033,0.139850066,1.10669702,43700
439,1.433839659,0.032421074,0.069742805,0.13948561,1.104341215,43800
440,1.437579804,0.032484213,0.069561356,0.139122711,1.101994443,43900
441,1.441323442,0.032547321,0.06938068,0.138761359,1.09965665,44000
442,1.445070575,0.032610399,0.069200772,0.138401545,1.097327784,44100
443,1.448821207,0.032673447,0.069021629,0.138043258,1.095007791,44200
444,1.452575339,0.032736465,0.068843245,0.13768649,1.092696621,44300
445,1.456332974,0.032799453,0.068665615,0.137331231,1.090394221,44400
446,1.460094115,0.032862411,0.068488736,0.136977472,1.08810054,44500
447,1.463858763,0.03292534,0.068312601,0.136625203,1.085815528,44600
448,1.467626921,0.032988238,0.068137207,0.136274415,1.083539134,44700
449,1.471398592,0.033051107,0.06796255,0.1359251,1.081271309,44800
450,1.475173777,0.033113947,0.067788624,0.135577247,1.079012002,44900
451,1.47895248,0.033176757,0.067615425,0.135230849,1.076761165,45000
