"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","MSM_pop","pop2022","cum_icni_prop"
"189","PHL","Philippines","Asia","South-eastern Asia",2022-05-02,0,0,0,0,2022-07-28,678100,115559.009,0
"190","POL","Poland","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-06-10,840985.7595,39857.145,0
"191","PRT","Portugal","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-05-17,74187.6105711891,10270.865,0
"192","PRI","Puerto Rico","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-29,109606.1159,3252.407,0
"193","QAT","Qatar","Asia","Western Asia",2022-05-02,0,0,0,0,2022-07-20,27490.2444,2695.122,0
"194","COG","Republic of Congo","Africa","Sub-Saharan Africa",2022-05-02,0,2,0,2,2022-04-12,1300,5970.424,0.00153846153846154
"195","ROU","Romania","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-06-13,10500,19659.267,0
"196","RUS","Russia","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-07-12,1532011.64928064,144713.314,0
"197","MAF","Saint Martin (French part)","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-01,503.836479112461,31.791,0
"198","SAU","Saudi Arabia","Asia","Western Asia",2022-05-02,0,0,0,0,2022-07-14,371369.964,36408.82,0
"199","SRB","Serbia","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-06-17,40000,7221.365,0
"200","SGP","Singapore","Asia","South-eastern Asia",2022-05-02,0,0,0,0,2022-06-20,97403.7307,5975.689,0
"201","SVK","Slovakia","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-07-07,119076.8583,5643.453,0
"202","SVN","Slovenia","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-05-24,15311.8711173472,2119.844,0
"203","ZAF","South Africa","Africa","Sub-Saharan Africa",2022-05-02,0,0,0,0,2022-06-22,309700,59893.885,0
"204","KOR","South Korea","Asia","Eastern Asia",2022-05-02,0,0,0,0,2022-06-22,520231.319373243,51815.81,0
"205","SSD","South Sudan","Africa","Sub-Saharan Africa",2022-05-02,0,0,0,0,2022-08-29,158240.878,10913.164,0
"206","ESP","Spain","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-05-18,890200,47558.63,0
"207","SDN","Sudan","Africa","Northern Africa",2022-05-02,0,0,0,0,2022-07-31,132000,46874.204,0
"208","SWE","Sweden","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-05-19,1e+05,10549.347,0
"209","CHE","Switzerland","Europe","Western Europe",2022-05-02,0,0,0,0,2022-05-21,80000,8740.472,0
"210","TWN","Taiwan","Asia","Eastern Asia",2022-05-02,0,0,0,0,2022-06-24,239889.946426095,23893.394,0
"211","THA","Thailand","Asia","South-eastern Asia",2022-05-02,0,0,0,0,2022-07-21,527900,71697.03,0
"212","TUR","Turkey","Asia","Western Asia",2022-05-02,0,0,0,0,2022-06-30,870480.6582,85341.241,0
"213","UKR","Ukraine","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-09-15,179400,39701.739,0
"214","ARE","United Arab Emirates","Asia","Western Asia",2022-05-02,0,0,0,0,2022-05-24,96299.5158,9441.129,0
"215","GBR","United Kingdom","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-05-06,708621.322760554,67508.936,0
"216","USA","United States","Americas","Northern America",2022-05-02,0,0,0,0,2022-05-18,4500000,338289.857,0
"217","URY","Uruguay","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-29,28600,3422.794,0
"218","VEN","Venezuela","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-12,210800,28301.696,0
"219","AND","Andorra","Europe","Southern Europe",2022-05-03,0,0,0,0,2022-07-25,576.577710468845,79.824,0
"220","ARG","Argentina","Americas","Latin America and the Caribbean",2022-05-03,0,0,0,0,2022-05-27,205600,45510.318,0
"221","ABW","Aruba","Americas","Latin America and the Caribbean",2022-05-03,0,0,0,0,2022-08-22,3587.1965,106.445,0
"222","AUS","Australia","Oceania","Australia and New Zealand",2022-05-03,0,0,0,0,2022-05-20,263500,26177.413,0
"223","AUT","Austria","Europe","Western Europe",2022-05-03,0,0,0,0,2022-05-23,81238.97811776,8939.617,0
"224","BHS","Bahamas","Americas","Latin America and the Caribbean",2022-05-03,0,0,0,0,2022-06-24,2800,409.984,0
"225","BHR","Bahrain","Asia","Western Asia",2022-05-03,0,0,0,0,2022-09-16,15016.7766,1472.233,0
"226","BRB","Barbados","Americas","Latin America and the Caribbean",2022-05-03,0,0,0,0,2022-07-16,2600,281.635,0
"227","BEL","Belgium","Europe","Western Europe",2022-05-03,0,0,0,0,2022-05-19,105923.535897807,11655.93,0
"228","BEN","Benin","Africa","Sub-Saharan Africa",2022-05-03,0,0,0,0,2022-06-14,5800,13352.864,0
